gene_id	transcript_id	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EKVX_LUNG	HOP62_LUNG	HOP92_LUNG	NCIH226_LUNG	NCIH23_LUNG	NCIH322_LUNG	NCIH460_LUNG	NCIH522_LUNG	HCT116_LARGE_INTESTINE	HCT15_LARGE_INTESTINE	HT29_LARGE_INTESTINE	KM12_LARGE_INTESTINE	SW620_LARGE_INTESTINE	SF268_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	SF539_CENTRAL_NERVOUS_SYSTEM	SNB75_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	LOXIMVI_SKIN	MALME3M_SKIN	MDAMB435S_SKIN	SKMEL24_SKIN	SKMEL28_SKIN	SKMEL5_SKIN	UACC62_SKIN	IGROV1_OVARY	NIHOVCAR3_OVARY	OVCAR4_OVARY	OVCAR8_OVARY	SKOV3_OVARY	X786O_KIDNEY	ACHN_KIDNEY	UO31_KIDNEY	PC3_PROSTATE	MCF7_BREAST	MDAMB231_BREAST	MDAMB468_BREAST	BT549_BREAST	T47D_BREAST
ENSG00000169105.6	ENST00000306243.5	0.71	9.19	4.17	20.46	33.32	20.99	8.93	4.41	9	12.88	12.24	54.44	8.01	10.79	5.11	0.83	10.56	83.28	14.51	51.77	31.26	28.44	10.95	22.63	9.97	35.38	17.03	14.22	15.74	15.27	19.69	9.34	16.11	33.32	24.82	31.94	13.2	13.95	4.89	9.05	10.32	10.45	19.31
ENSG00000169255.9	ENST00000320474.4	0.17	0.45	0.09	0	1.79	5.41	0	0.29	2.66	0	0.63	0.24	3.88	13.78	0	0	1.2	2.22	5.11	28.44	7.63	3.07	0	0.26	2.54	0	1.4	0.42	0	1.42	12.24	3.97	1.37	11.19	10.02	4.06	11.68	14.53	8.1	5.18	2.15	3.72	4.82
ENSG00000169255.9	ENST00000392779.2	0	0.81	0.09	0	0.12	1.78	0.01	0	0.54	0.02	0	0	2.34	3.65	0	0.02	0.52	0.74	1.23	4.75	2.84	0.98	0	0	1.66	0	0.48	0.02	0.01	0.54	2.31	1.98	0.29	2.54	1.51	0.48	1.79	3.84	2.52	2.07	1.77	0.19	1.7
ENSG00000169255.9	ENST00000392781.2	0	0.19	0	0	0	0.2	0	0	0.23	0	0	0	0	0.68	0	0	0.03	0.09	0.47	2.12	0.58	0.13	0	0	0.1	0	0	0	0	0	0.75	0	0.16	0.33	0	0	0	1.67	0.63	0.72	0	0.25	0.69
ENSG00000169255.9	ENST00000473285.1	0	0	0.09	0.04	0	0	0	0	0	0.03	0	0.05	0	0	0.01	0	0	0.36	0	0	0	0	0.01	0.1	0	0	0.08	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	1.41
ENSG00000169255.9	ENST00000488170.1	0	0.28	0	0	0.28	1.71	0	0.34	0.74	0	0.21	0.06	0.72	4.28	0	0	0.45	0.81	2.54	12.72	5.25	1.25	0	0.15	2.08	0	0.6	0.05	0	0.24	6.42	2.77	0.24	7.09	2.13	1.12	4.09	10.74	6.24	3.36	2.42	0.37	4.37
ENSG00000169733.7	ENST00000310496.4	4.78	12.91	7.64	5.58	8.75	12.48	13.89	7.67	4.84	7.58	5.46	16.18	10	6.97	6.84	3.59	7.21	26.75	12.52	14.95	10.81	21.21	11.73	14.12	14.75	18.45	6.78	13.45	12.78	8.85	25.37	15.44	8.3	12.4	11.1	11.9	12.83	12.48	4.7	8.27	10.98	5.85	16.81
ENSG00000169764.10	ENST00000337130.5	0.04	3.37	0.62	2.31	15.36	5.88	5.18	6.81	2.89	4.67	3.18	6.63	5.18	6.13	3.87	1.77	3.82	2.77	4.14	5.48	27.71	5.02	5.94	6.6	16.2	46.97	33.07	6.65	46.41	2.85	2.13	10.32	6.65	5.23	5.81	5.34	4.66	4.66	0.9	4.34	11.23	1.46	0.39
ENSG00000169764.10	ENST00000394417.2	5.81	44.16	25.81	43.2	52.54	61.01	41.83	49.4	39.73	46.78	39.8	43.66	37.13	75.6	51.34	26.85	41.07	22.24	40.82	34.44	57.23	58.57	49.54	55.72	87.22	62.67	57.32	41.7	57.43	20.87	52.15	53.19	39.46	57.84	67.39	57.51	47.16	32.1	45.93	51.94	69.52	41.97	27.91
ENSG00000169764.10	ENST00000467648.2	0.22	0.38	0.99	0.12	0.25	0.33	1.44	3.1	1.56	5.88	1.2	1.22	0	0	1.29	0.83	0.96	2	1.56	2.05	0.73	2.59	1.65	3.19	2.98	0.59	3.66	2.14	3.26	1.03	0.9	2.02	1.56	4.36	1.93	2.89	2.53	1.4	2.37	1.85	4.3	0.84	2.59
ENSG00000169826.6	ENST00000374466.3	8.54	7.55	4.02	216.98	12.98	11.6	8.48	13.43	9.58	7.36	7.03	11.72	10.36	10.69	2.32	7.74	9.63	8.5	12.85	14.63	22.99	19.99	7.66	16.07	8.43	6.81	9.6	7.69	6.69	9.35	10.83	6.03	12.86	12.64	19.15	10.97	10.3	5.54	6.78	17.67	8.72	22.23	10.1
ENSG00000169902.9	ENST00000304842.5	0.23	2.01	4.96	0.54	10.69	29.59	17.71	10.48	3.77	11.23	3.15	17.38	7.75	6.99	0.28	0.05	8.58	13.74	74.52	83.31	58.18	29.69	3.84	34.38	24.35	17.98	10.03	15.46	22.88	11.66	10.06	6.28	10.31	9.59	38.5	18.78	11.47	6.32	3.59	13.86	3.35	5.95	5.4
ENSG00000169919.12	ENST00000304895.4	4.13	34.28	43.85	39.79	2.74	10.4	32.45	7.95	3.44	16.73	8.46	10.53	5.04	17.31	16.9	2.23	14.44	14.42	32.64	23	24.45	26.76	9.86	61.99	7.7	23.94	9.17	21.74	9.29	11.13	4.96	4.83	12.8	8.19	30.07	13.97	10.44	9.88	24.23	18.85	16.51	1.74	29.14
ENSG00000169919.12	ENST00000421103.1	4.09	0.29	1.93	1.83	0.05	0.21	1.75	0	0.14	1.21	0.15	0.66	0.48	2.42	0.54	0	0.22	0.12	1.34	0.66	0	0.31	0	0.88	0.31	0.97	0.11	1.09	0.31	0.33	0.42	0.37	0.71	0.36	1.83	0.07	0.16	0.2	0.88	1.41	0.58	0.33	0.83
ENSG00000170266.11	ENST00000307363.5	1.68	48.36	29.28	20.24	45.87	44.41	60.73	22.53	5.11	20.25	16.69	26.8	11.97	36.56	13.73	13.72	17.15	57.99	41.22	45.94	70.86	53.7	17.18	48.02	9.08	24.68	44.83	34.77	24.23	24.77	42.91	38.07	26.3	19.27	37.42	41.41	61.02	18.93	40.01	29	23.73	31.98	38.07
ENSG00000170266.11	ENST00000399402.3	5.12	5.01	5.65	3.27	4.4	4.25	9.89	3.35	3.86	4.69	2.01	1.86	4.61	6.7	5.2	4.28	4.31	4.39	3.29	3.2	4.55	3.5	2.21	6.4	5.03	2.95	3.23	2.28	2.12	3.22	5.76	8.33	5.22	3.95	6.98	6.61	10.99	3.57	6.23	5.79	5.77	4.38	9.42
ENSG00000170340.10	ENST00000301998.4	10.31	10.75	2.54	10.73	8.16	8.6	4.13	13.11	8.23	19.41	2.41	11.35	21.43	19.35	8.42	12.13	6.7	4.82	5.3	9.42	14.8	5.78	11.84	16.56	6.8	6	15.55	7.43	13.68	8.12	8.16	8.39	6.08	8.72	18.1	11.9	9.96	6.34	4.8	8.07	24.46	6.4	3.6
ENSG00000170340.10	ENST00000405767.1	0	5.28	1.02	7.33	5.14	7.06	2.55	12.74	3.6	6.74	2.02	3.1	2.74	13.07	3.79	4.43	4.8	2.37	4.61	3.71	6.59	5.01	2.52	5.88	3.39	4.78	6.89	4.57	0	2.41	0.48	2.65	3.8	6.61	0.56	5.36	2.05	2.59	6.55	1.63	7.77	1.29	1.85
ENSG00000170961.6	ENST00000303924.4	0.01	0	0.03	0.1	0.64	6.58	0.05	0.01	2.98	0.01	0.01	0.01	0.04	0.17	0.14	0.37	10.58	2.82	8.79	0.18	7.96	7.56	76.7	9.12	0.16	0.94	31.32	15.87	4.19	0.02	0.01	0.01	0.02	0.03	0.27	0.01	0.03	16.67	0.02	3.05	0.03	11.45	0.01
ENSG00000171004.13	ENST00000370833.2	0	0	0.02	0.77	0	0	0	0	0.29	1.63	1.83	0.34	1.43	0	0	0.51	0	0.03	0.01	0	0.02	0.41	0	0	0	0	0	0.07	0.26	1.01	0.33	0	0.77	0.16	0	0	0.99	0	0	0	0.17	0.02	0
ENSG00000171004.13	ENST00000370836.2	0.02	0.02	0.02	22.2	0.01	0.08	0	0.03	8.78	20.01	26.78	2.76	24.57	0.05	0.01	6.11	0.01	0.09	0.01	0.46	1.28	5.99	0.01	0.01	0.02	0.19	0.06	1.68	7.64	13.91	6.53	0.39	10.54	0.66	0.52	0.03	13.43	2.01	0.22	0.03	1.64	0.04	0.02
ENSG00000171004.13	ENST00000406696.3	0	0.03	0.06	0.75	0	0.02	0.03	0	0	0.38	0.79	0.38	1.1	0	0	0.3	0.01	0.02	0	0.02	0.02	0	0.03	0.01	0	0	0	0.05	0.33	0	0	0	0.66	0	0	0	0.84	0.15	0	0	0.08	0	0.03
ENSG00000171004.13	ENST00000521489.1	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171124.8	ENST00000303225.6	0	0	0	0	0	0	0	0	0	2.46	0	0	0	0.3	0.11	0.09	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.08	0	0	0	0	0	0.19	0	0	0.89	0	0
ENSG00000171124.8	ENST00000458379.2	0.03	0.21	0.26	0.02	0.01	0	0.05	0.04	0	10.71	0	0.3	0.01	0.38	0.46	0.53	0.01	0.03	0.02	0.01	0	0.21	0	0.1	0.06	0.03	0	3.52	0.12	0.04	0	1	0.05	0	0.03	0	0.05	1.79	0	0	4.19	0	0.11
ENSG00000171124.8	ENST00000589620.1	0	0.02	0.07	0	0.12	0	0	0	0	19.99	0	0	0	0.8	0.64	0.45	0	0	0	0	0	0	0	0.6	0	0.06	0.07	2.47	0	0	0.37	2.34	0	0	0	0.05	0	1.48	0.05	0	7.67	0.03	0
